[rosmaster.main][INFO] 2016-07-01 00:45:57,999: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-01 00:45:58,000: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-01 00:45:58,010: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-01 00:45:58,012: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-01 00:45:58,012: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-01 00:45:58,012: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-01 00:45:58,094: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,100: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__33545] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,198: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,199: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,200: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,203: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,205: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,206: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,206: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,207: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,208: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:45:58,291: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:48169/
[rosmaster.master][INFO] 2016-07-01 00:45:58,296: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:48169/
[rosmaster.master][INFO] 2016-07-01 00:45:58,311: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:48169/
[rosmaster.master][INFO] 2016-07-01 00:45:58,319: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:48169/
[rosmaster.master][INFO] 2016-07-01 00:45:58,927: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44409/
[rosmaster.master][INFO] 2016-07-01 00:45:58,934: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44409/
[rosmaster.master][INFO] 2016-07-01 00:45:58,935: +PUB [/rosout] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,936: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44409/
[rosmaster.master][INFO] 2016-07-01 00:45:58,941: +SERVICE [/rosapi/get_loggers] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,945: +SERVICE [/rosapi/set_logger_level] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,952: +SERVICE [/rosapi/topics] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,955: +SERVICE [/rosapi/topics_for_type] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,958: +SERVICE [/rosapi/services] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,961: +SERVICE [/rosapi/services_for_type] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,963: +SERVICE [/rosapi/nodes] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,966: +SERVICE [/rosapi/topic_type] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,968: +SERVICE [/rosapi/service_type] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,971: +SERVICE [/rosapi/publishers] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,974: +SERVICE [/rosapi/subscribers] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,977: +SERVICE [/rosapi/service_providers] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,980: +SERVICE [/rosapi/service_node] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,983: +SERVICE [/rosapi/service_host] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,985: +SERVICE [/rosapi/message_details] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,987: +SERVICE [/rosapi/service_request_details] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,989: +SERVICE [/rosapi/service_response_details] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,991: +SERVICE [/rosapi/set_param] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,993: +SERVICE [/rosapi/get_param] /rosapi http://ros-indigo-desktop-trusty64:33884/
[rosmaster.master][INFO] 2016-07-01 00:45:58,995: +SERVICE [/rosapi/has_param] /rosapi http://ros-indigo-desktop-trusty64:33884/
