[rosmaster.main][INFO] 2016-07-01 00:47:08,613: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-01 00:47:08,614: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-01 00:47:08,617: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-01 00:47:08,619: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-01 00:47:08,620: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-01 00:47:08,619: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-01 00:47:08,723: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,730: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__46276] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,827: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,828: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,828: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,829: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,829: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,830: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,830: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,831: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,831: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-07-01 00:47:08,840: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:36113/
[rosmaster.master][INFO] 2016-07-01 00:47:08,844: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:36113/
[rosmaster.master][INFO] 2016-07-01 00:47:08,853: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:36113/
[rosmaster.master][INFO] 2016-07-01 00:47:08,865: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:36113/
[rosmaster.master][INFO] 2016-07-01 00:47:09,528: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:43839/
[rosmaster.master][INFO] 2016-07-01 00:47:09,535: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:43839/
[rosmaster.master][INFO] 2016-07-01 00:47:09,538: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ros-indigo-desktop-trusty64:43839/
[rosmaster.master][INFO] 2016-07-01 00:47:09,567: +PUB [/rosout] /rosapi http://ros-indigo-desktop-trusty64:41996/
[rosmaster.master][INFO] 2016-07-01 00:47:09,578: +SERVICE [/rosapi/get_loggers] /rosapi http://ros-indigo-desktop-trusty64:41996/
