[rosmaster.main][INFO] 2016-06-29 20:03:34,226: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-29 20:03:34,227: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-29 20:03:34,229: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-06-29 20:03:34,230: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-06-29 20:03:34,230: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-29 20:03:34,230: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-06-29 20:03:34,307: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,311: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__37878] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,374: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,375: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,377: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,378: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,380: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,381: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,381: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,382: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,383: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 20:03:34,456: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:43142/
[rosmaster.master][INFO] 2016-06-29 20:03:34,458: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:43142/
[rosmaster.master][INFO] 2016-06-29 20:03:34,481: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:43142/
[rosmaster.master][INFO] 2016-06-29 20:03:34,490: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:43142/
[rosmaster.master][INFO] 2016-06-29 20:03:35,060: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:34302/
[rosmaster.master][INFO] 2016-06-29 20:03:35,067: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:34302/
