[rosmaster.main][INFO] 2016-06-29 19:38:00,286: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-06-29 19:38:00,286: Starting ROS Master Node
[xmlrpc][INFO] 2016-06-29 19:38:00,287: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2016-06-29 19:38:00,289: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-06-29 19:38:00,289: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-06-29 19:38:00,289: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-06-29 19:38:00,399: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,407: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__54308] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,474: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,475: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,476: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,476: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,477: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,477: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,478: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,479: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,479: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-06-29 19:38:00,556: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:55718/
[rosmaster.master][INFO] 2016-06-29 19:38:00,558: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:55718/
[rosmaster.master][INFO] 2016-06-29 19:38:00,567: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:55718/
[rosmaster.master][INFO] 2016-06-29 19:38:00,578: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:55718/
[rosmaster.master][INFO] 2016-06-29 19:38:01,099: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44661/
[rosmaster.master][INFO] 2016-06-29 19:38:01,104: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44661/
[rosmaster.master][INFO] 2016-06-29 19:38:01,107: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ros-indigo-desktop-trusty64:44661/
[rosmaster.master][INFO] 2016-06-29 19:38:01,107: publisherUpdate[/rosout] -> http://ros-indigo-desktop-trusty64:55718/
[rosmaster.master][INFO] 2016-06-29 19:38:01,154: +PUB [/rosout] /rosapi http://ros-indigo-desktop-trusty64:41271/
[rosmaster.master][INFO] 2016-06-29 19:38:01,161: +SERVICE [/rosapi/get_loggers] /rosapi http://ros-indigo-desktop-trusty64:41271/
