[rosmaster.main][INFO] 2016-07-07 17:27:07,994: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-07 17:27:07,995: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-07 17:27:07,997: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-07 17:27:07,997: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-07 17:27:07,998: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-07 17:27:07,998: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-07 17:27:08,052: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,055: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__40633] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,121: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,122: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,123: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,124: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,124: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,125: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,126: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,127: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,128: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-07-07 17:27:08,206: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,209: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,215: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,222: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,837: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:48930/
[rosmaster.master][INFO] 2016-07-07 17:27:08,845: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:48930/
[rosmaster.master][INFO] 2016-07-07 17:27:08,847: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ros-indigo-desktop-trusty64:48930/
[rosmaster.master][INFO] 2016-07-07 17:27:08,849: +PUB [/rosout] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,855: +SERVICE [/rosapi/get_loggers] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,858: +SERVICE [/rosapi/set_logger_level] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,861: +SERVICE [/rosapi/topics] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,863: +SERVICE [/rosapi/topics_for_type] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,867: +SERVICE [/rosapi/services] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,871: +SERVICE [/rosapi/services_for_type] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,874: +SERVICE [/rosapi/nodes] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,877: +SERVICE [/rosapi/topic_type] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,880: +SERVICE [/rosapi/service_type] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,882: +SERVICE [/rosapi/publishers] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,884: +SERVICE [/rosapi/subscribers] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,887: +SERVICE [/rosapi/service_providers] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,889: +SERVICE [/rosapi/service_node] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,891: +SERVICE [/rosapi/service_host] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,893: +SERVICE [/rosapi/message_details] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,895: +SERVICE [/rosapi/service_request_details] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,898: +SERVICE [/rosapi/service_response_details] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,899: publisherUpdate[/rosout] -> http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,901: +SERVICE [/rosapi/set_param] /rosapi http://ros-indigo-desktop-trusty64:48297/
[rosmaster.master][INFO] 2016-07-07 17:27:08,902: publisherUpdate[/rosout] -> http://ros-indigo-desktop-trusty64:60713/
[rosmaster.master][INFO] 2016-07-07 17:27:08,905: +SERVICE [/rosapi/get_param] /rosapi http://ros-indigo-desktop-trusty64:48297/
