[rosmaster.main][INFO] 2016-07-13 21:25:44,711: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-13 21:25:44,712: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-13 21:25:44,716: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-13 21:25:44,717: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-13 21:25:44,718: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-13 21:25:44,717: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-13 21:25:44,754: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:44,757: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__54148] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,821: +PARAM [/robot_description_planning/joint_limits/mico_joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,822: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,823: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,824: +PARAM [/robot_description_planning/joint_limits/mico_joint_1/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,825: +PARAM [/robot_description_planning/joint_limits/mico_joint_3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,825: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,826: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,826: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,827: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,827: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,828: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/delay_collision_checking] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,828: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,829: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,830: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,830: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,831: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,832: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,832: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,833: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,834: +PARAM [/robot_description_planning/joint_limits/mico_joint_5/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,835: +PARAM [/move_group/allowed_execution_duration_scaling] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,835: +PARAM [/robot_description_planning/joint_limits/mico_joint_3/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,836: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,836: +PARAM [/robot_description_planning/joint_limits/mico_joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,837: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,837: +PARAM [/robot_description_planning/joint_limits/mico_joint_4/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,838: +PARAM [/robot_description_planning/joint_limits/mico_joint_5/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,838: +PARAM [/move_group/planner_configs/SBLkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,839: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/frountierNodeRatio] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 21:25:45,839: +PARAM [/robot_description_kinematics/arm/kinematics_solver_timeout] by /roslaunch
