[rosmaster.main][INFO] 2016-07-13 20:43:22,747: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-13 20:43:22,747: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-13 20:43:22,750: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-13 20:43:22,751: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-13 20:43:22,751: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-13 20:43:22,752: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-13 20:43:22,778: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:22,781: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__37757] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,766: +PARAM [/robot_description_planning/joint_limits/mico_joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,767: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,769: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,770: +PARAM [/robot_description_planning/joint_limits/mico_joint_1/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,771: +PARAM [/robot_description_planning/joint_limits/mico_joint_3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,772: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,773: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,773: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,774: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,775: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,775: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/delay_collision_checking] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,777: +PARAM [/joint_state_publisher/source_list] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,778: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,779: +PARAM [/move_group/planning_scene_monitor/publish_planning_scene] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,780: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,782: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:43:23,783: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
