[rosmaster.main][INFO] 2016-07-05 17:34:10,015: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-05 17:34:10,016: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-05 17:34:10,020: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-05 17:34:10,022: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-05 17:34:10,022: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-05 17:34:10,022: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-05 17:34:10,071: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,081: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__34354] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,202: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,203: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,203: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,204: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,205: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,205: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,206: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,206: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,207: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2016-07-05 17:34:10,376: +SERVICE [/rosout/get_loggers] /rosout http://ros-indigo-desktop-trusty64:43711/
[rosmaster.master][INFO] 2016-07-05 17:34:10,389: +SERVICE [/rosout/set_logger_level] /rosout http://ros-indigo-desktop-trusty64:43711/
[rosmaster.master][INFO] 2016-07-05 17:34:10,430: +PUB [/rosout_agg] /rosout http://ros-indigo-desktop-trusty64:43711/
[rosmaster.master][INFO] 2016-07-05 17:34:10,458: +SUB [/rosout] /rosout http://ros-indigo-desktop-trusty64:43711/
[rosmaster.master][INFO] 2016-07-05 17:34:11,245: +PUB [/rosout] /rosbridge_websocket http://ros-indigo-desktop-trusty64:39149/
[rosmaster.master][INFO] 2016-07-05 17:34:11,254: +SERVICE [/rosbridge_websocket/get_loggers] /rosbridge_websocket http://ros-indigo-desktop-trusty64:39149/
[rosmaster.master][INFO] 2016-07-05 17:34:11,265: +SERVICE [/rosbridge_websocket/set_logger_level] /rosbridge_websocket http://ros-indigo-desktop-trusty64:39149/
[rosmaster.master][INFO] 2016-07-05 17:34:11,333: publisherUpdate[/rosout] -> http://ros-indigo-desktop-trusty64:43711/
[rosmaster.master][INFO] 2016-07-05 17:34:11,343: +PUB [/rosout] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,359: +SERVICE [/rosapi/get_loggers] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,362: +SERVICE [/rosapi/set_logger_level] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,365: +SERVICE [/rosapi/topics] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,369: +SERVICE [/rosapi/topics_for_type] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,373: +SERVICE [/rosapi/services] /rosapi http://ros-indigo-desktop-trusty64:36123/
[rosmaster.master][INFO] 2016-07-05 17:34:11,381: +SERVICE [/rosapi/services_for_type] /rosapi http://ros-indigo-desktop-trusty64:36123/
