[rosmaster.main][INFO] 2016-07-13 20:45:28,017: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-07-13 20:45:28,018: Starting ROS Master Node
[xmlrpc][INFO] 2016-07-13 20:45:28,020: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-07-13 20:45:28,021: Started XML-RPC server [http://ros-indigo-desktop-trusty64:11311/]
[rosmaster.master][INFO] 2016-07-13 20:45:28,022: Master initialized: port[11311], uri[http://ros-indigo-desktop-trusty64:11311/]
[xmlrpc][INFO] 2016-07-13 20:45:28,022: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-07-13 20:45:28,091: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,094: +PARAM [/roslaunch/uris/host_ros_indigo_desktop_trusty64__38822] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,993: +PARAM [/robot_description_planning/joint_limits/mico_joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,994: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,994: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,995: +PARAM [/robot_description_planning/joint_limits/mico_joint_1/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,995: +PARAM [/robot_description_planning/joint_limits/mico_joint_3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,995: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,996: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2016-07-13 20:45:28,996: +PARAM [/robot_description_planning/joint_limits/mico_joint_2/has_velocity_limits] by /roslaunch
