

1467740134.925140097  Node Startup
1467740135.689116954 INFO [rosbridge_websocket:141(<module>) [topics: /rosout] Rosbridge WebSocket server started on port 9090
1467740135.785325050 INFO [rosapi_node:175(<module>) [topics: /rosout] Rosapi started
1467740175.301454067 INFO [websocket_handler.py:74(open) [topics: /rosout] Client connected.  1 clients total.
1467740175.746051073 ERROR [protocol.py:363(log) [topics: /rosout] [Client 0] [id: subscribe:test:1] subscribe: Cannot infer topic type for topic test as it is not yet advertised
1467740375.692761898 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740375.792893886 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740375.892307043 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740375.991266012 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.091938018 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.192774057 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.291342020 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.395459890 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.492137908 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.595436096 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.693111896 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.792572975 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.891681909 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740376.992598056 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.092019081 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.191951990 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.292006969 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.392338991 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.491286993 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.591011047 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.691415071 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.793905019 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.891269922 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740377.992315053 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.092642068 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.196568965 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.296602964 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.392262935 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.491482019 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.591706991 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.691262960 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.791429042 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.894157886 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740378.994592905 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.092009067 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.196764945 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.295356035 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.391302108 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.496726036 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.597233057 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.696778059 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.840914011 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740379.894411087 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.001051902 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.094939947 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.192076921 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.291325092 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.391853094 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.500199079 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740380.591038942 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
