 >NAME	>POSTION
 >MoveHome	>[-1.4860966188537983, 3.0588178784846045, 1.377334318357453, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_1_0_Above	>[0.7170608506147698, 3.662304029934228, 2.0761077078198396, -2.9404829786080233, -2.2776546738525996, 0.6235585297436055]
 >MoveTE_1_0_Down	>[0.7170608506147698, 4.869276332833476, 2.0761077078198396, -2.9404829786080233, -2.2764645071614433, 0.6235585297436055]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_1_1_Above	>[0.1039497603471122, 3.1088677301148997, 1.1906097080037463, -2.67630352374267, -0.37484897817635865, -0.10352976319844989]
 >MoveTE_1_1_Down	>[0.10491225173220206, 4.026128053829877, 1.1906097080037463, -2.67630352374267, -0.37484897817635865, -0.10352976319844989]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_2_0_Above	>[0.5216737761833623, 4.163765278971243, 3.013580358944082, 2.9523833139390425, -2.266944505212738, 3.103512645794968]
 >MoveTE_2_0_Down	>[0.5216737761833623, 5.054075744035164, 3.013580358944082, 2.9523833139390425, -2.266944505212738, 3.103512645794968]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_2_1_Above	>[0.06929983745728201, 3.7845412597561023, 2.4793941864321734, -2.6251338128739965, -1.526765751860399, 0.5307387104808008]
 >MoveTE_2_1_Down	>[0.06929983745728201, 4.407277272197037, 2.4793941864321734, -2.6251338128739965, -1.526765751860399, 0.5307387104808008]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_3_0_Above0	>[-2.375444351183656, 3.3321671296153186, 1.9149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_3_0_Above1	>[-2.375444351183656, 3.3321671296153186, 1.6439461714044301, -0.8698880142446477, -1.8575857529989133, -2.6572637861613675]
 >MoveTE_3_0_Above2	>[-2.11557002937847, 4.896225925168424, 1.6477961702343031, -0.8686975812373827, -1.8552048869843816, -2.6572637861613675]
 >MoveTE_3_0_Down	>[-1.5303714056602569, 4.896225925168424, 1.6516461690641762, -0.8686975812373827, -1.8552048869843816, -2.6572637861613675]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_3_1_Above	>[-0.5043488147384473, 3.6266914408893616, 1.6978460218645983, -2.710813564096244, -0.9317676274370754, 2.750083472266116]
 >MoveTE_3_1_Down	>[-0.5043488147384473, 4.14162775240996, 1.6978460218645983, -2.710813564096244, -0.9317676274370754, 2.750083472266116]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_4_0_Above	>[-0.22907446432425616, 3.437079431281791, 1.3003344749180463, 2.8345733231133163, 1.6267259054798684, 2.620373678741589]
 >MoveTE_4_0_Down	>[-0.22907446432425616, 4.614214209960009, 1.3349843312288494, 2.8345733231133163, 1.6267259054798684, 2.620373678741589]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTE_4_1_Above	>[-0.2945243112740431, 3.82015358248486, 2.8720932681308975, -2.587053805079172, -1.7171657908345228, -2.9547633810052467]
 >MoveTE_4_1_Down	>[-0.2945243112740431, 4.560314492657895, 2.8720932681308975, -2.587053805079172, -1.7171657908345228, -2.9547633810052467]
