 >NAME	>POSTION
 >MoveTLU_1_0_Up	>[0.7170614498260157, 3.6959914198270765, 2.073220175407921, -2.936913011166772, -2.2752748731025054, 0.6235583965855511]
 >MoveTLU_1_0_Adjust	>[1.0962849364089386, 3.470766821174639, 1.8258581833522545, -2.617993877991494, 3.0904226764050104, 0.8627480793621451]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTLU_1_1_Up	>[0.10587450176831936, 3.1435175864257023, 1.1906097080037463, -2.6774936904338267, -0.374849510808577, -0.10233995436956533]
 >MoveTLU_1_1_Adjust	>[0.9788587070962933, 3.0953926676313164, 1.7363460101633288, -2.2657546048376895, 0.8425176424574676, 0.82109783780996]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTLU_2_0_Up	>[0.5216727774979546, 3.8528785059597532, 3.014543091678146, 2.9511931472478863, -2.265755137469908, 3.103512645794968]
 >MoveTLU_2_0_Adjust	>[1.0231353581155105, 3.309067402952189, 1.878795567394468, -2.438304273973341, 2.231244298168006, 1.8575854866828045]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, -1.83012299394]
 >MoveTLU_2_1_Up	>[0.0654498469497895, 3.6324665057131984, 2.4813191192680826, -2.6251338128739965, -1.5267668171248356, 0.5307387104808008]
 >MoveTLU_2_1_Adjust	>[0.9278453237836075, 3.310029869370144, 1.8556957075732843, -2.299074478500107, 0.1963495408493614, 0.9674678344818055]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
 >MoveTLU_3_0_Up	>[-1.5534713986394948, 3.33890466085711, 1.9692704733174575, -0.8627480793621451, 0.153509931554348, -2.652503652028959]
 >MoveTLU_3_0_Adjust	>[-1.4870590852717527, 3.061705277738468, 1.3763718519394983, -2.0348950236347543, 1.4648866713001896, 1.311377006061951]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, -1.83021299394]
 >MoveTLU_3_1_Up	>[-0.5053113144459155, 3.115605261356691, 1.6516461690641762, -2.70843349703004, -0.9281968610474962, 2.7453236044498177]
 >MoveTLU_3_1_Adjust	>[1.0510475500264709, 3.067480342562305, 1.7363460101633288, -2.1051050047169486, 1.2804371994657373, 1.4398966328953218]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951
 >MoveTLU_4_0_Up	>[0.0009624664179543885, 3.3350547951852914, 1.7363460101633288, -2.974993018961597, 1.560086158155034, 2.1062951714081057]
 >MoveTLU_4_0_Adjust	>[1.2483594241357325, 3.150255117667494, 1.4947590829314992, -2.3312044517874773, 1.4982070775948237, 1.560086424471143]
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951
 >MoveTLU_4_1_Up	>[0.2935613122238703, 3.3523797233406927, 2.2243323298748154, -2.353814423126141, -3.0820912432508045, 2.450204342988251]
 >MoveTLU_4_1_Adjust	>[1.2194848989648754, 3.1839425075603422, 1.7276834129275735, -2.1705548516667363, 2.1646045508431726, 1.7778559031260668
 >MoveREADY	>[1.9538704779979654, 3.13678032150002, 1.5149714103407645, -2.0360851903259105, 1.4648866713001893, 1.311377006061951]
