Gripper Action Times 
Range	: Time
1	: 0.259521784782
2	: 0.239960112572
3	: 0.334884774928
4	: 0.341453844187
5	: 0.421783924103
6	: 0.400600115458
7	: 0.430084365479
8	: 0.446000860092
9	: 0.469435919886
10	: 0.554562470187
11	: 0.56954680019
12	: 0.596778959698
13	: 0.548166518862
14	: 0.60389145396
15	: 0.661118740259
16	: 0.67948691235
17	: 0.641161606425
18	: 0.668620660191
19	: 0.743536239717
20	: 0.764103953431
21	: 0.750266069174
22	: 0.759222334623
23	: 0.895428254054
24	: 0.836490777823
25	: 0.897198513934
26	: 0.859669296365
27	: 0.923196225553
28	: 0.955625946457
29	: 0.887980043888
30	: 0.93717567126
31	: 0.976789222445
32	: 1.05225648199
33	: 1.00399792896
34	: 0.994435710066
35	: 1.02745451349
36	: 1.06944633253
37	: 1.17925029993
38	: 1.0931423232
39	: 1.23559917173
40	: 1.22147490901
41	: 1.20615052382
42	: 1.10620299975
43	: 1.24337343512
44	: 1.10380525425
45	: 1.1169581839
46	: 1.3624746544
47	: 1.15675818479
48	: 1.39981540927
49	: 1.22417858931
50	: 1.36407926449
51	: 1.38550498962
52	: 1.30934012413
53	: 1.40933130185
54	: 1.48397111893
55	: 1.51215109618
56	: 1.53518394802
57	: 1.45370526747
58	: 1.27383531224
59	: 1.22126189868
60	: 1.60458585194
61	: 1.53708747625
62	: 1.47300078319
63	: 1.82594996232
64	: 1.25445906933
65	: 1.5816963315
66	: 1.62330045303
67	: 1.78479943673
68	: 1.67807236585
69	: 2.01353697343
70	: 1.55704144998
71	: 1.9094725132
72	: 1.76535661221
73	: 1.66862461567
74	: 2.13984847069
75	: 1.73977274365
76	: 1.8754521211
77	: 1.96484521031
78	: 2.00960752368
79	: 2.11346673965
80	: 1.33289211137
81	: 1.91956227166
82	: 1.78935279165
83	: 2.50033938885
84	: 2.06089448929
85	: 1.75493371487
86	: 1.97343454361
87	: 1.76584033966
88	: 2.22645244598
89	: 1.54625019431
90	: 2.10533124208
91	: 1.67290177941
92	: 2.14522937934
93	: 1.45844765504
94	: 2.21476618449
95	: 1.74092217286
96	: 2.26566096147
97	: 2.31888985634
98	: 3.04134716988
99	: 2.37290825844
100	: 2.72888474464
